"","Sample","Subject","Type","Microglia","Status"
"GSM8115895","GSM8115895","Subject1","Cortical organoid",1,0
"GSM8115900","GSM8115900","Subject2","Cortical organoid",1,0
"GSM8115913","GSM8115913","Subject3","Dopaminergic organoid",1,0
"GSM8115920","GSM8115920","Subject4","Dopaminergic organoid",1,0
"GSM8115892","GSM8115892","Subject1","Cortical organoid",0,0
"GSM8115898","GSM8115898","Subject2","Cortical organoid",0,0
"GSM8115911","GSM8115911","Subject3","Dopaminergic organoid",0,0
"GSM8115896","GSM8115896","Subject1","Cortical organoid",1,0
"GSM8115901","GSM8115901","Subject2","Cortical organoid",1,0
"GSM8115893","GSM8115893","Subject1","Cortical organoid",0,0
"GSM8115899","GSM8115899","Subject2","Cortical organoid",0,0
"GSM8115912","GSM8115912","Subject3","Dopaminergic organoid",0,0
"GSM8115917","GSM8115917","Subject4","Dopaminergic organoid",0,0
"GSM8115897","GSM8115897","Subject1","Cortical organoid",1,0
"GSM8115915","GSM8115915","Subject3","Dopaminergic organoid",1,0
"GSM8115922","GSM8115922","Subject4","Dopaminergic organoid",1,0
"GSM8115894","GSM8115894","Subject1","Cortical organoid",0,0
"GSM8115918","GSM8115918","Subject4","Dopaminergic organoid",0,0
"GSM8115919","GSM8115919","Subject4","Dopaminergic organoid",0,0
"GSM8115904","GSM8115904","Subject1","Cortical organoid",1,1
"GSM8115909","GSM8115909","Subject2","Cortical organoid",1,1
"GSM8115926","GSM8115926","Subject3","Dopaminergic organoid",1,1
"GSM8115902","GSM8115902","Subject1","Cortical organoid",0,1
"GSM8115907","GSM8115907","Subject2","Cortical organoid",0,1
"GSM8115923","GSM8115923","Subject3","Dopaminergic organoid",0,1
"GSM8115928","GSM8115928","Subject4","Dopaminergic organoid",0,1
"GSM8115910","GSM8115910","Subject2","Cortical organoid",1,1
"GSM8115927","GSM8115927","Subject3","Dopaminergic organoid",1,1
"GSM8115933","GSM8115933","Subject4","Dopaminergic organoid",1,1
"GSM8115903","GSM8115903","Subject1","Cortical organoid",0,1
"GSM8115908","GSM8115908","Subject2","Cortical organoid",0,1
"GSM8115924","GSM8115924","Subject3","Dopaminergic organoid",0,1
"GSM8115906","GSM8115906","Subject1","Cortical organoid",1,1
"GSM8115925","GSM8115925","Subject3","Dopaminergic organoid",0,1
"GSM8115930","GSM8115930","Subject4","Dopaminergic organoid",0,1
"GSM8115931","GSM8115931","Subject4","Dopaminergic organoid",0,1
