"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gnai3",680.472313543205,-6.03054814908595e-07,0.00144252767731356,0.95600679270744,0.999284317126109
"Cdc45",32.2381722265567,1.42454608404125e-06,0.00144262630479917,0.835514766245839,0.999284317126109
"H19",1.07977594073233,-6.68583184532257e-07,0.00144269338628804,0.576851827088576,0.999284317126109
"Scml2",5.78421030006188,2.23705484367168e-06,0.001442680379069,0.504400527768137,0.999284317126109
"Apoh",7.72428940251514,-2.9259670222734e-06,0.00144267943913129,0.403869143487361,0.999284317126109
"Narf",848.52636212557,-6.27042802456233e-06,0.00144246643272442,0.629787459344871,0.999284317126109
"Cav2",825.00785834439,7.36088896123262e-06,0.00144262842651339,0.320570898979688,0.999284317126109
"Klf6",577.211045675004,1.22051107384924e-05,0.00144264149472083,0.107499023345032,0.999284317126109
"Scmh1",474.027056075835,1.28298786236876e-06,0.00144236454807064,0.934525914461067,0.999284317126109
"Cox5a",4605.50493537495,-1.87168616421239e-05,0.00144260290540447,0.0747193221544345,0.999284317126109
"Tbx2",8.2688300102359,-3.80565505962566e-06,0.00144268484748424,0.210473558226257,0.999284317126109
"Tbx4",2.36525175922421,-9.10108189758746e-08,0.00144268874226479,0.96515459439137,0.999284317126109
"Ngfr",72.4307968086436,-1.30201871207134e-06,0.00144267412133525,0.736092239890047,0.999284317126109
"Wnt3",59.1809396655292,8.13305407121633e-06,0.00144266430985292,0.140867473491866,0.999284317126109
"Wnt9a",137.829112444731,-6.35051167818445e-06,0.00144266492462499,0.218077475049465,0.999284317126109
"Fer",272.574485380828,1.93889012928585e-05,0.00144246365889732,0.183931699728065,0.999284317126109
"Xpo6",612.579209529804,-5.94911197795262e-06,0.0014426380160026,0.376834151051534,0.999284317126109
"Tfe3",698.598790633845,-1.72599592225979e-05,0.00144245757783757,0.231764578939693,0.999284317126109
"Axin2",45.9465138867704,-8.53452745810596e-06,0.00144262140023778,0.277637257808342,0.999284317126109
"Brat1",391.003412271851,-1.3643699643731e-05,0.00144251098918682,0.274544045187617,0.999284317126109
"Gna12",413.732517473047,-2.41252857092129e-06,0.00144258722184636,0.784696821496525,0.999284317126109
"Slc22a18",20.4380649876327,1.4091640946159e-06,0.00144268313760434,0.632419785755272,0.999284317126109
"Itgb2l",0.486378970810965,-3.32277246972592e-07,0.00144269475187482,0.772728918407803,0.999284317126109
"Igsf5",9.18440307062538,-1.36022263247339e-06,0.00144268174734932,0.662815014153846,0.999284317126109
"Pih1d2",27.6382633456749,2.85081405744838e-06,0.0014426673590637,0.533155025838096,0.999284317126109
"Dlat",1990.38689101298,-1.91452602725243e-06,0.00144245989458888,0.882460228383842,0.999284317126109
"Sdhd",2052.57013756683,5.85065374811588e-06,0.0014425802737766,0.517270026414894,0.999284317126109
"Fgf23",1.2750509784397,-4.72867829450808e-07,0.00144269027807632,0.797711613129683,0.999284317126109
"Ccnd2",1495.29844888108,-1.52264146389947e-05,0.00144258199797917,0.147611312770217,0.999284317126109
"Gpr107",691.177108394916,-1.45783615946963e-06,0.00144231952261277,0.92887491850886,0.999284317126109
"Nalcn",788.405062195623,4.4731834058898e-06,0.00144260407465828,0.586408228324185,0.999284317126109
"Btbd17",467.259741707157,-1.78264846422371e-05,0.00144266969587027,0.0193595017638184,0.865589452988214
"Slfn4",0.729282868305819,3.3669925260296e-09,0.00144269409347876,0.986882794465762,0.999446282713864
"Th",163.634018937262,-1.28484531592103e-06,0.00144269011367083,0.49050613537188,0.999284317126109
"Ins2",3.13900279441144,1.31967319521474e-06,0.00144269389856616,0.172928985365838,0.999284317126109
"Scnn1g",4.45275549655856,7.73897354149329e-07,0.00144268881064595,0.713832129712398,0.999284317126109
"Drp2",513.690686215151,-5.44768106103941e-07,0.00144254335594787,0.95704609109095,0.999284317126109
"Tspan32",8.21344668121897,5.58473592333162e-06,0.00144269102233137,0.03155189801726,0.999284317126109
"Lhx2",226.570311820193,-1.64387673912393e-07,0.00144262071295599,0.98065199658585,0.999284317126109
"Clec2g",0.192908853367721,-2.68448878262472e-07,0.00144269491951182,0.68709569548186,NA
"Gmpr",1220.90656440985,-2.32548328501975e-06,0.00144249382227664,0.844298332899564,0.999284317126109
"Glra1",5.35596993483604,1.19548668465416e-06,0.00144269143855451,0.474659205624404,0.999284317126109
"Mid2",186.999732684405,7.24311839818605e-06,0.00144262475786145,0.339405335625085,0.999284317126109
"Trim25",129.314450610128,8.15446054834636e-06,0.00144265107502192,0.197960998028126,0.999284317126109
"Dgke",880.374769010412,1.81287112615919e-06,0.00144251011856372,0.876485247733643,0.999284317126109
"Scpep1",427.286773829613,8.97396775547286e-06,0.00144257428751027,0.370185466902776,0.999284317126109
"Mnt",231.194385921597,-7.7806308816242e-06,0.00144260672409962,0.355636141061588,0.999284317126109
"Itgb2",270.08242160658,6.97251994520513e-06,0.00144268965745364,0.0297502617603025,0.983217926435233
"Hddc2",263.238495679183,1.41261801230807e-06,0.00144260465763611,0.853495811673199,0.999284317126109
"Tpd52l1",577.79776908036,1.25280260314582e-06,0.00144257980238563,0.891268081014066,0.999284317126109
"Pemt",49.3175537706326,-3.781196066598e-06,0.00144262562074858,0.5981292128311,0.999284317126109
"Cdh1",13.7356741269123,-5.23569280717709e-07,0.00144268784927587,0.813954729063998,0.999284317126109
"Cdh4",197.972669701739,-3.09120419047963e-06,0.00144265970280886,0.54509011844023,0.999284317126109
"Ckmt1",3592.72537927735,-8.60605978615247e-06,0.00144251477398215,0.462330026198954,0.999284317126109
"Bcl6b",27.1342208602115,-4.99197646606637e-06,0.00144263341791681,0.468159279966334,0.999284317126109
