"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gnai3",680.472313543205,0.00854191382441574,0.062693741596495,0.922635353005849,0.986099222723495
"Cdc45",32.2381722265567,-0.00972629341250207,0.0724497022850899,0.764002838824062,0.946781489940531
"H19",1.07977594073233,0.0100020207273325,0.0839134174748212,0.275973636981388,0.730100245814123
"Scml2",5.78421030006188,0.000593994804576647,0.0807573233618271,0.951264597891493,0.991692655376691
"Apoh",7.72428940251514,0.0036102195673146,0.0806178945685373,0.898369917568426,0.978721431500945
"Narf",848.52636212557,-0.0972264360738642,0.07589593299791,0.0753203289699385,0.457468087196398
"Cav2",825.00785834439,0.269055101508889,0.168554798568417,0.00589580296782216,0.107204959143986
"Klf6",577.211045675004,0.0211881099213984,0.0742379383891792,0.572864557140411,0.884405654465777
"Scmh1",474.027056075835,-0.027664564912073,0.0543369643921684,0.499395398821528,0.856406628173688
"Cox5a",4605.50493537495,-0.0488137499929748,0.0727632027392315,0.277400095776044,0.730261914678182
"Tbx2",8.2688300102359,0.0219435121565435,0.0850234417356902,0.287100245428937,0.737895745742804
"Tbx4",2.36525175922421,0.011044229875161,0.0832961271578084,0.445063424738497,0.828781363479817
"Ngfr",72.4307968086436,0.00464763621537106,0.0799064214569421,0.750235933190712,0.942872974253757
"Wnt3",59.1809396655292,-0.00652194396629629,0.0770628103674752,0.830149828474534,0.961178002824693
"Wnt9a",137.829112444731,0.0083150559758594,0.0780118117346869,0.790704567259887,0.95406344183162
"Fer",272.574485380828,-0.13750514872448,0.0713147685331656,0.0116126303490671,0.171632269796446
"Xpo6",612.579209529804,0.0310977542985214,0.0794448067126382,0.418185653522735,0.816904821350234
"Tfe3",698.598790633845,0.0706196066831428,0.0644007495431221,0.130050192018993,0.569078692593179
"Axin2",45.9465138867704,-0.0228732335941866,0.0769545770402908,0.505235994729368,0.859160432631771
"Brat1",391.003412271851,0.0111151456496446,0.0593744591293511,0.788951728227563,0.953300477620838
"Gna12",413.732517473047,0.227243025376953,0.13378858087762,0.00589222919040405,0.107204959143986
"Slc22a18",20.4380649876327,0.0542530035673821,0.107506966452597,0.0241083539179741,0.264845253205178
"Itgb2l",0.486378970810965,-0.00280535368934612,0.0834786964484237,0.561857034966734,NA
"Igsf5",9.18440307062538,0.00453263657948113,0.0806435357725422,0.809669730748161,0.958225495226404
"Pih1d2",27.6382633456749,-0.00915313728642985,0.0784465552284797,0.746700162673168,0.941492636144759
"Dlat",1990.38689101298,-0.106072117684015,0.0775047966988827,0.0449792945617908,0.366188905422785
"Sdhd",2052.57013756683,-0.0239599976024608,0.0693936614318749,0.559278846961112,0.879643206813191
"Fgf23",1.2750509784397,-0.000618015281642406,0.0829054226000524,0.97308718070817,0.99483415735747
"Ccnd2",1495.29844888108,-0.0141336609597122,0.0644677184735265,0.684594182864813,0.926067367004503
"Gpr107",691.177108394916,0.00240539431916777,0.0502843788899517,0.93530248455983,0.98949660093266
"Nalcn",788.405062195623,-0.0291313656308278,0.0742075802994887,0.407341852472396,0.811162729014125
"Btbd17",467.259741707157,-0.0601117447402889,0.0912044389166818,0.168676269063522,0.624564734711922
"Slfn4",0.729282868305819,0.00818021803328161,0.0838978632572105,0.21388174032304,NA
"Th",163.634018937262,-0.0134071730953929,0.0841445307357887,0.290598776056382,0.740659014265963
"Ins2",3.13900279441144,-0.0064928910911996,0.0834885647323648,0.378712068309484,0.797178472544689
"Scnn1g",4.45275549655856,-0.0119170687713997,0.0830850399064895,0.41369471274077,0.814761296855205
"Drp2",513.690686215151,-0.0580544794639102,0.0770023941994913,0.217417060704431,0.678203136920772
"Tspan32",8.21344668121897,0.740018356440931,0.439135049527258,0.00257621447275797,0.0574674626278953
"Lhx2",226.570311820193,0.0181142583408618,0.0740750030486192,0.631122383247394,0.907029735011636
"Clec2g",0.192908853367721,-0.000374480661671547,0.0835048755275751,0.98117308815355,NA
"Gmpr",1220.90656440985,-0.022725111592273,0.0615896992960459,0.627961227273326,0.90543657246364
"Glra1",5.35596993483604,-0.00578115992242311,0.0832242616908389,0.547654354912218,0.874560698327278
"Mid2",186.999732684405,0.0152640678687063,0.073250001398994,0.719712515480918,0.936418245240582
"Trim25",129.314450610128,0.523091235735203,0.179813532523615,0.000152283801067482,0.00539614338565208
"Dgke",880.374769010412,-0.154249318869014,0.0959487317632667,0.0143835581621768,0.194247992208599
"Scpep1",427.286773829613,0.47027974743966,0.109197620619978,8.00050094897475e-07,5.79591846525727e-05
"Mnt",231.194385921597,-0.0393938259006115,0.0779899367093344,0.2562477682256,0.713330386041212
"Itgb2",270.08242160658,1.95687672506595,0.328038824037543,1.07364876904607e-10,3.19912538962127e-08
"Hddc2",263.238495679183,-0.010988690549962,0.0706385273611809,0.776801682945515,0.950398222724782
"Tpd52l1",577.79776908036,-0.0226845317149935,0.0696596359350825,0.577483198144708,0.885867611028652
"Pemt",49.3175537706326,0.011018198132255,0.0730871647322933,0.776427293301739,0.95038464156448
