"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gnai3",680.472313543205,0.0401847092832634,0.0313294913396505,0.158675080458694,0.449880373362818
"Cdc45",32.2381722265567,0.0278632891868595,0.0429795829626605,0.42124895392579,0.715608289882625
"H19",1.07977594073233,0.0113568766488017,0.0719191495639095,0.532617183003022,0.78940933947839
"Scml2",5.78421030006188,0.0603355443478623,0.0812233305999931,0.142954954806465,0.427942352374792
"Apoh",7.72428940251514,0.0126274560558411,0.0600938756713484,0.747030850911973,0.899261363346749
"Narf",848.52636212557,-0.0622901799888356,0.0280811720797312,0.0166777766053957,0.123172712565661
"Cav2",825.00785834439,0.0743830967427626,0.0476595235143516,0.0521011987250765,0.2470847680586
"Klf6",577.211045675004,0.00931940449261115,0.049301117184041,0.846923820336075,0.94257279662593
"Scmh1",474.027056075835,-0.0402360715649884,0.0231365234073339,0.0906700758679826,0.338715536089639
"Cox5a",4605.50493537495,-0.0497827237454365,0.0357323557201556,0.110527648800475,0.377375696777831
"Tbx2",8.2688300102359,-0.00705665778225341,0.0623566087593771,0.840898052013662,0.939801214983365
"Tbx4",2.36525175922421,0.0597230029479694,0.0960647051934715,0.087798834488643,0.333033002170097
"Ngfr",72.4307968086436,0.0324616807011733,0.0611659238743807,0.355826895998245,0.661947967796461
"Wnt3",59.1809396655292,0.0381020858877541,0.0539822585682142,0.324573364537538,0.635983035829562
"Wnt9a",137.829112444731,-0.153081011978208,0.0753488524209995,0.00544668591692625,0.0559814200777412
"Fer",272.574485380828,-0.0327046162667627,0.0239339127519689,0.182769391253185,0.482811172880975
"Xpo6",612.579209529804,-0.0804221587273984,0.0657578068640551,0.0711309446834505,0.29564453755877
"Tfe3",698.598790633845,0.00149101084358035,0.0240915244619395,0.981033038848006,0.993721799620694
"Axin2",45.9465138867704,-0.0554257250462183,0.0670996037023474,0.181267421919851,0.480883226580935
"Brat1",391.003412271851,-0.0220877292475589,0.0280410869300206,0.410617664024682,0.70864387749129
"Gna12",413.732517473047,0.0995664273921769,0.0404988528376843,0.00436097071705182,0.0476795909194126
"Slc22a18",20.4380649876327,0.438826920522755,0.120469606385899,1.3438047880522e-05,0.0003739990665465
"Itgb2l",0.486378970810965,-0.00172897115861134,0.0726199377331748,0.967014771790014,NA
"Igsf5",9.18440307062538,0.00631653148406639,0.0623665325925768,0.788613563108023,0.91704893995005
"Pih1d2",27.6382633456749,0.0462655684187595,0.0622241630254607,0.251316595591757,0.562981846964653
"Dlat",1990.38689101298,-0.0716021527123569,0.0270564847301359,0.00429646422163957,0.0471584742716167
"Sdhd",2052.57013756683,0.0122118147846319,0.0429763472252349,0.725297379156585,0.890948198519443
"Fgf23",1.2750509784397,-0.0293873220897234,0.07631406805991,0.246921236349525,0.558378651611627
"Ccnd2",1495.29844888108,-0.025581179145361,0.0358909500830656,0.443130722109838,0.731436240079142
"Gpr107",691.177108394916,0.00279454237490508,0.0223700168642405,0.891455409526868,0.962848665202404
"Nalcn",788.405062195623,-0.0860373122906412,0.059321872367798,0.0559274697330759,0.258501839393472
"Btbd17",467.259741707157,-0.118350256353419,0.0599797688919499,0.0107563943135798,0.091098923212914
"Slfn4",0.729282868305819,0.0226775272757475,0.0768467566008421,0.142099282154104,NA
"Th",163.634018937262,-0.0527116538822392,0.0938958744362815,0.0694387165695891,0.292377215334185
"Ins2",3.13900279441144,-0.00324008317292541,0.071448916482903,0.823502200466733,0.932522620226212
"Scnn1g",4.45275549655856,-0.0279344755314989,0.0725688606546094,0.335718195800891,0.646237962046356
"Drp2",513.690686215151,-0.064847461332939,0.0346540930661444,0.0347194693804715,0.194713254496343
"Tspan32",8.21344668121897,0.513703008047944,0.145040418075189,1.37936122689951e-05,0.000381178667348623
"Lhx2",226.570311820193,-0.0181546934119095,0.0474999359301027,0.568286472603939,0.810438963855689
"Clec2g",0.192908853367721,-0.00722282249215134,0.0734655893258761,0.64111193125613,NA
"Gmpr",1220.90656440985,-0.0443581412950786,0.0282465780971131,0.0905864996628899,0.338554058394399
"Glra1",5.35596993483604,-0.499160448867388,0.299476382185921,0.00251236778945856,0.031399907615025
"Mid2",186.999732684405,-0.0205163419592042,0.0459721827212939,0.550975909212553,0.79976137924518
"Trim25",129.314450610128,0.377937399776496,0.0594327383843438,1.14286992298036e-11,8.92733792504058e-10
"Dgke",880.374769010412,-0.0613952891898327,0.0367153064401114,0.0489989168133904,0.237386937482942
