NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
INNATE/ADAPTIVE/MTDNA/DSRNA IMMUNE	INNATE/ADAPTIVE/MTDNA/DSRNA IMMUNE	Details ...	142	0.7887746	2.4558852	0.0	0.0	0.0	2869	tags=58%, list=9%, signal=64%	
INNATE IMMUNE	INNATE IMMUNE	Details ...	70	0.8187107	2.2972107	0.0	0.0	0.0	2869	tags=67%, list=9%, signal=73%	
ADAPTIVE IMMUNE	ADAPTIVE IMMUNE	Details ...	57	0.82825434	2.2662425	0.0	0.0	0.0	3701	tags=63%, list=11%, signal=71%	
MTDNA/DSRNA INNATE IMMUNE: MTDSRNA/MTDNA	MTDNA/DSRNA INNATE IMMUNE: MTDSRNA/MTDNA	Details ...	37	0.857769	2.149573	0.0	0.0	0.0	2479	tags=76%, list=7%, signal=82%	
MTDNA/DSRNA INNATE IMMUNE	MTDNA/DSRNA INNATE IMMUNE	Details ...	44	0.790645	2.0741196	0.0	0.0	0.0	2479	tags=68%, list=7%, signal=74%	
ADAPTIVE IMMUNE: SURFACE MARKER/RECEPTOR SIGNALING	ADAPTIVE IMMUNE: SURFACE MARKER/RECEPTOR SIGNALING	Details ...	28	0.85339147	2.0411901	0.0	0.0	0.0	3701	tags=64%, list=11%, signal=72%	
RAAS: TISSUE DAMAGE	RAAS: TISSUE DAMAGE	Details ...	34	0.79415715	2.0021675	0.0	0.0	0.0	1936	tags=41%, list=6%, signal=44%	
RAAS: TISSUE DAMAGE: PANOPTOSIS	RAAS: TISSUE DAMAGE: PANOPTOSIS	Details ...	34	0.79415715	1.9818326	0.0	1.875E-4	0.001	1936	tags=41%, list=6%, signal=44%	
INNATE IMMUNE: CANONICAL	INNATE IMMUNE: CANONICAL	Details ...	26	0.83302945	1.9761891	0.0	1.6666666E-4	0.001	2479	tags=73%, list=7%, signal=79%	
MTDNA/DSRNA INNATE IMMUNE: MTDSRNA	MTDNA/DSRNA INNATE IMMUNE: MTDSRNA	Details ...	26	0.82478553	1.9608831	0.0	1.4999999E-4	0.001	3435	tags=77%, list=10%, signal=86%	
RAAS	RAAS	Details ...	73	0.6824539	1.9465766	0.0	1.3636364E-4	0.001	2338	tags=25%, list=7%, signal=26%	
MTDNA/DSRNA INNATE IMMUNE: MTDNA	MTDNA/DSRNA INNATE IMMUNE: MTDNA	Details ...	20	0.8623634	1.9155623	0.0	2.2500001E-4	0.002	2333	tags=70%, list=7%, signal=75%	
INNATE IMMUNE: NON-CANONICAL	INNATE IMMUNE: NON-CANONICAL	Details ...	21	0.833349	1.9065644	0.0	2.0769233E-4	0.002	2793	tags=67%, list=8%, signal=73%	
PANOPTOSIS	PANOPTOSIS	Details ...	37	0.70418763	1.7978348	0.002202643	0.0018868188	0.022	4380	tags=51%, list=13%, signal=59%	
INNATE IMMUNE: INFLAMMATION	INNATE IMMUNE: INFLAMMATION	Details ...	18	0.8127754	1.7770442	0.0021978023	0.0020881998	0.026	1883	tags=61%, list=6%, signal=65%	
METABOLISM: FATTY ACID OXIDATION	METABOLISM: FATTY ACID OXIDATION	Details ...	15	0.8199128	1.7168512	0.0	0.0061159735	0.077	4597	tags=67%, list=14%, signal=77%	
HIF	HIF	Details ...	78	0.48526645	1.4146451	0.037199125	0.105291694	0.759	1611	tags=15%, list=5%, signal=16%	
HIF: SELECTED HIF TARGET	HIF: SELECTED HIF TARGET	Details ...	63	0.5007617	1.400155	0.027896997	0.10984425	0.791	1611	tags=14%, list=5%, signal=15%	
HIF: HIF/GLYCOLYSIS	HIF: HIF/GLYCOLYSIS	Details ...	78	0.48526645	1.381697	0.030905077	0.1169871	0.835	1611	tags=15%, list=5%, signal=16%	
METABOLISM: GLYCOLYSIS	METABOLISM: GLYCOLYSIS	Details ...	17	0.6153685	1.3229454	0.14618644	0.16441743	0.93	175	tags=18%, list=1%, signal=18%	
ANTIOXIDANT DEFENSES	ANTIOXIDANT DEFENSES		68	0.4677981	1.3167965	0.072052404	0.16222014	0.933	3746	tags=25%, list=11%, signal=28%	
EXTRACELLULAR MATRIX	EXTRACELLULAR MATRIX		269	0.3891602	1.3080153	0.006960557	0.1634714	0.949	3322	tags=18%, list=10%, signal=20%	
PANOPTOSIS: APOPTOSIS	PANOPTOSIS: APOPTOSIS		16	0.6009053	1.2766955	0.14556962	0.18774548	0.976	4380	tags=50%, list=13%, signal=58%	
ISR: TARGET-GENE	ISR: TARGET-GENE		49	0.47490746	1.2663665	0.12684989	0.19071253	0.981	3515	tags=29%, list=11%, signal=32%	
HIF/MTOR/GLYCOLYSIS	HIF/MTOR/GLYCOLYSIS		123	0.39413297	1.205879	0.120181404	0.25438398	0.996	1611	tags=12%, list=5%, signal=13%	
METABOLISM	METABOLISM		133	0.39110538	1.2043059	0.12955466	0.24702564	0.996	4337	tags=24%, list=13%, signal=28%	
METABOLISM: NON-OXIDATIVE METABOLISM	METABOLISM: NON-OXIDATIVE METABOLISM		129	0.39468417	1.2026178	0.11409396	0.23993088	0.997	4337	tags=24%, list=13%, signal=28%	
ISR	ISR		65	0.4119651	1.1548251	0.23921569	0.29707718	1.0	1982	tags=20%, list=6%, signal=21%	
ANTIOXIDANT DEFENSES: GLUTATHIONE METABOLISM	ANTIOXIDANT DEFENSES: GLUTATHIONE METABOLISM		30	0.45978984	1.1107529	0.30872482	0.35132033	1.0	3746	tags=23%, list=11%, signal=26%	
SENESCENCE: INDUCED	SENESCENCE: INDUCED		340	0.3207041	1.0927898	0.205074	0.3689696	1.0	3134	tags=18%, list=9%, signal=20%	
SENESCENCE: INHIBITED	SENESCENCE: INHIBITED		458	0.29531777	1.0424277	0.27689242	0.44358665	1.0	3229	tags=17%, list=10%, signal=18%	
RAAS: AGT REGULATOR AXIS	RAAS: AGT REGULATOR AXIS		16	0.46139225	0.9722471	0.51508623	0.56379217	1.0	1942	tags=19%, list=6%, signal=20%	
METABOLISM: NUCLEOTIDE SYNTHESIS	METABOLISM: NUCLEOTIDE SYNTHESIS		22	0.38763523	0.87215304	0.6880342	0.75813544	1.0	4337	tags=27%, list=13%, signal=31%	
METABOLISM: NUCLEOTIDE SYNTHESIS: NUCLEAR	METABOLISM: NUCLEOTIDE SYNTHESIS: NUCLEAR		16	0.35411793	0.7460324	0.81578946	0.9422954	1.0	1335	tags=13%, list=4%, signal=13%	
RAAS: VASCULAR INFLAMMATION	RAAS: VASCULAR INFLAMMATION		23	0.30139804	0.71125686	0.84444445	0.94760436	1.0	3717	tags=9%, list=11%, signal=10%	
RAAS: VASCULAR INFLAMMATION: BRADYKININ PRODUCTION	RAAS: VASCULAR INFLAMMATION: BRADYKININ PRODUCTION		17	0.19494782	0.42604774	0.9978166	0.9994655	1.0	26627	tags=100%, list=81%, signal=513%	
