NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
INNATE/ADAPTIVE/MTDNA/DSRNA IMMUNE	INNATE/ADAPTIVE/MTDNA/DSRNA IMMUNE	Details ...	142	0.8659801	2.2072706	0.0	0.0	0.0	1559	tags=57%, list=5%, signal=60%	
INNATE IMMUNE	INNATE IMMUNE	Details ...	70	0.91443527	2.196724	0.0	0.0	0.0	1140	tags=67%, list=3%, signal=69%	
ADAPTIVE IMMUNE	ADAPTIVE IMMUNE	Details ...	57	0.86987555	2.0617173	0.0	0.0	0.0	3083	tags=67%, list=9%, signal=73%	
INNATE IMMUNE: CANONICAL	INNATE IMMUNE: CANONICAL	Details ...	26	0.9595866	2.0357347	0.0	0.0	0.0	1016	tags=85%, list=3%, signal=87%	
MTDNA/DSRNA INNATE IMMUNE: MTDSRNA/MTDNA	MTDNA/DSRNA INNATE IMMUNE: MTDSRNA/MTDNA	Details ...	37	0.8842622	1.9759655	0.0	0.0	0.0	2190	tags=76%, list=7%, signal=81%	
RAAS: TISSUE DAMAGE: PANOPTOSIS	RAAS: TISSUE DAMAGE: PANOPTOSIS	Details ...	34	0.8753389	1.9422103	0.0	0.0	0.0	1706	tags=53%, list=5%, signal=56%	
MTDNA/DSRNA INNATE IMMUNE	MTDNA/DSRNA INNATE IMMUNE	Details ...	44	0.85841024	1.9414667	0.0	0.0	0.0	2190	tags=66%, list=7%, signal=70%	
RAAS: TISSUE DAMAGE	RAAS: TISSUE DAMAGE	Details ...	34	0.8753389	1.907472	0.0	0.0	0.0	1706	tags=53%, list=5%, signal=56%	
MTDNA/DSRNA INNATE IMMUNE: MTDSRNA	MTDNA/DSRNA INNATE IMMUNE: MTDSRNA	Details ...	26	0.902669	1.9057151	0.0	0.0	0.0	1544	tags=77%, list=5%, signal=81%	
RAAS	RAAS	Details ...	73	0.7711301	1.8634617	0.0	0.0	0.0	3804	tags=44%, list=12%, signal=49%	
