NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
INNATE/ADAPTIVE/MTDNA/DSRNA IMMUNE	INNATE/ADAPTIVE/MTDNA/DSRNA IMMUNE	Details ...	142	0.882297	2.18042	0.0	0.0	0.0	1780	tags=58%, list=5%, signal=61%	
INNATE IMMUNE	INNATE IMMUNE	Details ...	70	0.92040676	2.1030526	0.0	0.0	0.0	1322	tags=69%, list=4%, signal=71%	
MTDNA/DSRNA INNATE IMMUNE: MTDSRNA/MTDNA	MTDNA/DSRNA INNATE IMMUNE: MTDSRNA/MTDNA	Details ...	37	0.9331378	1.9642291	0.0	0.0	0.0	1696	tags=78%, list=5%, signal=83%	
MTDNA/DSRNA INNATE IMMUNE	MTDNA/DSRNA INNATE IMMUNE	Details ...	44	0.9106073	1.9514991	0.0	0.0	0.0	1696	tags=70%, list=5%, signal=74%	
ADAPTIVE IMMUNE	ADAPTIVE IMMUNE	Details ...	57	0.8627301	1.9207896	0.0	0.0	0.0	2376	tags=51%, list=7%, signal=55%	
MTDNA/DSRNA INNATE IMMUNE: MTDSRNA	MTDNA/DSRNA INNATE IMMUNE: MTDSRNA	Details ...	26	0.9468445	1.9092698	0.0	0.0	0.0	1522	tags=81%, list=5%, signal=85%	
INNATE IMMUNE: CANONICAL	INNATE IMMUNE: CANONICAL	Details ...	26	0.9516134	1.8942643	0.0	0.0	0.0	1230	tags=85%, list=4%, signal=88%	
RAAS: TISSUE DAMAGE	RAAS: TISSUE DAMAGE	Details ...	34	0.89722615	1.8702909	0.0	0.0	0.0	1669	tags=50%, list=5%, signal=53%	
RAAS: TISSUE DAMAGE: PANOPTOSIS	RAAS: TISSUE DAMAGE: PANOPTOSIS	Details ...	34	0.89722615	1.8625374	0.0	0.0	0.0	1669	tags=50%, list=5%, signal=53%	
RAAS	RAAS	Details ...	73	0.81622547	1.8495909	0.0	0.0	0.0	2892	tags=33%, list=9%, signal=36%	
INNATE IMMUNE: NON-CANONICAL	INNATE IMMUNE: NON-CANONICAL	Details ...	21	0.9336842	1.815438	0.0	1.4747388E-4	0.002	1780	tags=76%, list=5%, signal=80%	
PANOPTOSIS	PANOPTOSIS	Details ...	37	0.85612845	1.8061924	0.0	1.3518438E-4	0.002	1669	tags=43%, list=5%, signal=45%	
MTDNA/DSRNA INNATE IMMUNE: MTDNA	MTDNA/DSRNA INNATE IMMUNE: MTDNA	Details ...	20	0.9128965	1.7733853	0.0	3.8043776E-4	0.006	1696	tags=65%, list=5%, signal=68%	
ADAPTIVE IMMUNE: SURFACE MARKER/RECEPTOR SIGNALING	ADAPTIVE IMMUNE: SURFACE MARKER/RECEPTOR SIGNALING	Details ...	28	0.8448172	1.7136347	0.0029895366	0.0012169186	0.02	2376	tags=46%, list=7%, signal=50%	
INNATE IMMUNE: INFLAMMATION	INNATE IMMUNE: INFLAMMATION	Details ...	18	0.8553865	1.627721	0.005076142	0.009175833	0.155	3408	tags=72%, list=10%, signal=80%	
HIF: SELECTED HIF TARGET	HIF: SELECTED HIF TARGET	Details ...	63	0.70289576	1.551411	0.0051150895	0.032160684	0.463	3016	tags=24%, list=9%, signal=26%	
EXTRACELLULAR MATRIX	EXTRACELLULAR MATRIX	Details ...	268	0.61208075	1.5497401	0.0	0.031133639	0.474	2784	tags=19%, list=8%, signal=21%	
PANOPTOSIS: APOPTOSIS	PANOPTOSIS: APOPTOSIS	Details ...	16	0.80361056	1.5273348	0.035256412	0.03857991	0.563	4098	tags=56%, list=12%, signal=64%	
HIF	HIF	Details ...	78	0.6315983	1.4672207	0.02389937	0.070906356	0.797	3016	tags=22%, list=9%, signal=24%	
HIF: HIF/GLYCOLYSIS	HIF: HIF/GLYCOLYSIS	Details ...	78	0.6315983	1.4632046	0.025423728	0.07082824	0.809	3016	tags=22%, list=9%, signal=24%	
HIF/MTOR/GLYCOLYSIS	HIF/MTOR/GLYCOLYSIS		123	0.5849276	1.413822	0.017626323	0.106571555	0.935	2348	tags=16%, list=7%, signal=17%	
ISR: TARGET-GENE	ISR: TARGET-GENE		49	0.6227514	1.3648406	0.085051544	0.14871891	0.98	4121	tags=37%, list=12%, signal=42%	
METABOLISM: GLYCOLYSIS	METABOLISM: GLYCOLYSIS		17	0.715916	1.357539	0.12182741	0.14959836	0.985	256	tags=18%, list=1%, signal=18%	
RAAS: AGT REGULATOR AXIS	RAAS: AGT REGULATOR AXIS		16	0.71755725	1.3474238	0.1474359	0.15393001	0.99	2400	tags=19%, list=7%, signal=20%	
SENESCENCE: INDUCED	SENESCENCE: INDUCED		340	0.52890664	1.3460077	0.013157895	0.14844823	0.99	2923	tags=19%, list=9%, signal=21%	
METABOLISM: FATTY ACID OXIDATION	METABOLISM: FATTY ACID OXIDATION		15	0.725174	1.334401	0.16445182	0.15519111	0.994	6794	tags=60%, list=21%, signal=76%	
ISR	ISR		65	0.586583	1.3285493	0.102372035	0.1557787	0.994	4121	tags=32%, list=12%, signal=37%	
SENESCENCE: INHIBITED	SENESCENCE: INHIBITED		458	0.5045052	1.2894005	0.0090452265	0.19162786	0.998	3023	tags=18%, list=9%, signal=19%	
OXPHOS: MT-DNA TRNA	OXPHOS: MT-DNA TRNA		16	0.65375674	1.2538701	0.21967213	0.22758695	0.999	10323	tags=81%, list=31%, signal=118%	
METABOLISM: NON-OXIDATIVE METABOLISM	METABOLISM: NON-OXIDATIVE METABOLISM		129	0.5065775	1.2375379	0.14523281	0.24059156	1.0	2569	tags=20%, list=8%, signal=22%	
