!Series_title	"Systematic Phenotyping and Characterization of the 5xFAD mouse model of Alzheimer’s Disease"
!Series_geo_accession	"GSE168137"
!Series_status	"Public on Mar 04 2021"
!Series_submission_date	"Mar 03 2021"
!Series_last_update_date	"Nov 03 2021"
!Series_pubmed_id	"34654824"
!Series_summary	"we conducted a detailed phenotypic characterization of the 5xFAD model on a congenic C57BL/6J strain background, across its lifespan – including a seldomly analyzed 18-month old time point to provide temporally correlated phenotyping of this model and a template for characterization of new models of LOAD as they are generated. This comprehensive analysis included quantification of plaque burden, Aβ biochemical levels, and neuropathology, neurophysiological measurements and behavioral and cognitive assessments, and evaluation of microglia, astrocytes, and neurons. Analysis of transcriptional changes was conducted using bulk-tissue generated RNA-seq data from microdissected cortices and hippocampi as a function of aging, which can be explored at the UCI Mouse Explorer and AD Knowledge Portal. This deep-phenotyping pipeline identified novel aspects of age-related pathology in the 5xFAD model."
!Series_overall_design	"Bulk RNA-seq of 4 different time point(4,8,12,18 month) in two brain regoins (hippocampus and cortex) and two strains (5xFAD and BL6)"
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Narges,,Rezaie"
!Series_contributor	"Ali,,Mortazavi"
!Series_sample_id	"GSM5129591 GSM5129592 GSM5129593 GSM5129594 GSM5129595 GSM5129596 GSM5129597 GSM5129598 GSM5129599 GSM5129600 GSM5129601 GSM5129602 GSM5129603 GSM5129604 GSM5129605 GSM5129606 GSM5129607 GSM5129608 GSM5129609 GSM5129610 GSM5129611 GSM5129612 GSM5129613 GSM5129614 GSM5129615 GSM5129616 GSM5129617 GSM5129618 GSM5129619 GSM5129620 GSM5129621 GSM5129622 GSM5129623 GSM5129624 GSM5129625 GSM5129626 GSM5129627 GSM5129628 GSM5129629 GSM5129630 GSM5129631 GSM5129632 GSM5129633 GSM5129634 GSM5129635 GSM5129636 GSM5129637 GSM5129638 GSM5129639 GSM5129640 GSM5129641 GSM5129642 GSM5129643 GSM5129644 GSM5129645 GSM5129646 GSM5129647 GSM5129648 GSM5129649 GSM5129650 GSM5129651 GSM5129652 GSM5129653 GSM5129654 GSM5129655 GSM5129656 GSM5129657 GSM5129658 GSM5129659 GSM5129660 GSM5129661 GSM5129662 GSM5129663 GSM5129664 GSM5129665 GSM5129666 GSM5129667 GSM5129668 GSM5129669 GSM5129670 GSM5129671 GSM5129672 GSM5129673 GSM5129674 GSM5129675 GSM5129676 GSM5129677 GSM5129678 GSM5129679 GSM5129680 GSM5129681 GSM5129682 GSM5129683 GSM5129684 GSM5129685 GSM5129686 GSM5129687 GSM5129688 GSM5129689 GSM5129690 GSM5129691 GSM5129692 GSM5129693 GSM5129694 GSM5129695 GSM5129696 GSM5129697 GSM5129698 GSM5129699 GSM5129700 GSM5129701 GSM5129702 GSM5129703 GSM5129704 GSM5129705 GSM5129706 GSM5129707 GSM5129708 GSM5129709 GSM5129710 GSM5129711 GSM5129712 GSM5129713 GSM5129714 GSM5129715 GSM5129716 GSM5129717 GSM5129718 GSM5129719 GSM5129720 GSM5129721 GSM5129722 GSM5129723 GSM5129724 GSM5129725 GSM5129726 GSM5129727 GSM5129728 GSM5129729 GSM5129730 GSM5129731 GSM5129732 GSM5129733 GSM5129734 GSM5129735 GSM5129736 GSM5129737 GSM5129738 GSM5129739 GSM5129740 GSM5129741 GSM5129742 GSM5129743 GSM5129744 GSM5129745 GSM5129746 GSM5129747 GSM5129748 GSM5129749 GSM5129750 GSM5129751 GSM5129752 GSM5129753 GSM5129754 GSM5129755 GSM5129756 GSM5129757 GSM5129758 GSM5129759 GSM5129760 GSM5129761 GSM5129762 GSM5129763 GSM5129764 GSM5129765 GSM5129766 GSM5129767 GSM5129768 GSM5129769 GSM5129770 GSM5129771 GSM5129772 GSM5129773 GSM5129774 GSM5129775 GSM5129776 GSM5129777 GSM5129778 GSM5129779 GSM5129780 GSM5129781 GSM5129782 "
!Series_contact_name	"Narges,,Rezaie"
!Series_contact_email	"nargesr@uci.edu"
!Series_contact_institute	"University of California, Irvine"
!Series_contact_address	"2218 Biological Sciences III"
!Series_contact_city	"Irvine"
!Series_contact_state	"California"
!Series_contact_zip/postal_code	"92697"
!Series_contact_country	"USA"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE168nnn/GSE168137/suppl/GSE168137_countList.txt.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE168nnn/GSE168137/suppl/GSE168137_expressionList.txt.gz"
!Series_platform_id	"GPL19057"
!Series_platform_taxid	"10090"
!Series_sample_taxid	"10090"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA706199"
!Series_relation	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP309056"

!Sample_title	"5xFAD_cortex_4mon_female_430"	"5xFAD_cortex_4mon_female_431"	"5xFAD_cortex_4mon_female_433"	"5xFAD_cortex_4mon_female_434"	"5xFAD_cortex_4mon_female_511"	"5xFAD_cortex_4mon_male_446"	"5xFAD_cortex_4mon_male_450"	"5xFAD_cortex_4mon_male_451"	"5xFAD_cortex_4mon_male_463"	"5xFAD_cortex_4mon_male_464"	"BL6_cortex_4mon_female_330"	"BL6_cortex_4mon_female_331"	"BL6_cortex_4mon_female_432"	"BL6_cortex_4mon_female_507"	"BL6_cortex_4mon_female_518"	"BL6_cortex_4mon_male_525"	"BL6_cortex_4mon_male_526"	"BL6_cortex_4mon_male_445"	"BL6_cortex_4mon_male_465"	"BL6_cortex_4mon_male_466"	"5xFAD_hippocampus_4mon_female_430"	"5xFAD_hippocampus_4mon_female_431"	"5xFAD_hippocampus_4mon_female_433"	"5xFAD_hippocampus_4mon_female_434"	"5xFAD_hippocampus_4mon_female_511"	"5xFAD_hippocampus_4mon_male_446"	"5xFAD_hippocampus_4mon_male_450"	"5xFAD_hippocampus_4mon_male_451"	"5xFAD_hippocampus_4mon_male_463"	"5xFAD_hippocampus_4mon_male_464"	"BL6_hippocampus_4mon_female_330"	"BL6_hippocampus_4mon_female_331"	"BL6_hippocampus_4mon_female_432"	"BL6_hippocampus_4mon_female_507"	"BL6_hippocampus_4mon_female_518"	"BL6_hippocampus_4mon_male_445"	"BL6_hippocampus_4mon_male_466"	"BL6_hippocampus_4mon_male_525"	"BL6_hippocampus_4mon_male_526"	"BL6_hippocampus_4mon_male_465"	"5xFAD_cortex_8mon_female_295"	"5xFAD_cortex_8mon_female_312"	"5xFAD_cortex_8mon_female_339"	"5xFAD_cortex_8mon_female_341"	"5xFAD_cortex_8mon_female_342"	"5xFAD_cortex_8mon_male_299"	"5xFAD_cortex_8mon_male_300"	"5xFAD_cortex_8mon_male_307"	"5xFAD_cortex_8mon_male_387"	"5xFAD_cortex_8mon_male_390"	"BL6_cortex_8mon_female_322"	"BL6_cortex_8mon_female_338"	"BL6_cortex_8mon_female_340"	"BL6_cortex_8mon_female_348"	"BL6_cortex_8mon_female_351"	"BL6_cortex_8mon_male_389"	"BL6_cortex_8mon_male_396"	"BL6_cortex_8mon_male_399"	"BL6_cortex_8mon_male_410"	"BL6_cortex_8mon_male_412"	"5xFAD_hippocampus_8mon_female_295"	"5xFAD_hippocampus_8mon_female_312"	"5xFAD_hippocampus_8mon_female_339"	"5xFAD_hippocampus_8mon_female_341"	"5xFAD_hippocampus_8mon_female_342"	"5xFAD_hippocampus_8mon_male_299"	"5xFAD_hippocampus_8mon_male_300"	"5xFAD_hippocampus_8mon_male_307"	"5xFAD_hippocampus_8mon_male_387"	"5xFAD_hippocampus_8mon_male_390"	"BL6_hippocampus_8mon_female_322"	"BL6_hippocampus_8mon_female_338"	"BL6_hippocampus_8mon_female_340"	"BL6_hippocampus_8mon_female_348"	"BL6_hippocampus_8mon_female_351"	"BL6_hippocampus_8mon_male_389"	"BL6_hippocampus_8mon_male_396"	"BL6_hippocampus_8mon_male_399"	"BL6_hippocampus_8mon_male_410"	"BL6_hippocampus_8mon_male_412"	"5xFAD_cortex_12mon_female_498"	"5xFAD_cortex_12mon_female_499"	"5xFAD_cortex_12mon_female_541"	"5xFAD_cortex_12mon_female_543"	"5xFAD_cortex_12mon_female_544"	"5xFAD_cortex_12mon_male_377"	"5xFAD_cortex_12mon_male_378"	"5xFAD_cortex_12mon_male_379"	"5xFAD_cortex_12mon_male_380"	"5xFAD_cortex_12mon_male_634"	"BL6_cortex_12mon_female_497"	"BL6_cortex_12mon_female_500"	"BL6_cortex_12mon_female_542"	"BL6_cortex_12mon_female_551"	"BL6_cortex_12mon_female_624"	"BL6_cortex_12mon_male_305"	"BL6_cortex_12mon_male_315"	"BL6_cortex_12mon_male_452"	"BL6_cortex_12mon_male_456"	"BL6_cortex_12mon_male_792"	"5xFAD_hippocampus_12mon_female_498"	"5xFAD_hippocampus_12mon_female_499"	"5xFAD_hippocampus_12mon_female_541"	"5xFAD_hippocampus_12mon_female_543"	"5xFAD_hippocampus_12mon_female_544"	"5xFAD_hippocampus_12mon_male_377"	"5xFAD_hippocampus_12mon_male_378"	"5xFAD_hippocampus_12mon_male_379"	"5xFAD_hippocampus_12mon_male_380"	"5xFAD_hippocampus_12mon_male_634"	"BL6_hippocampus_12mon_female_497"	"BL6_hippocampus_12mon_female_500"	"BL6_hippocampus_12mon_female_542"	"BL6_hippocampus_12mon_female_551"	"BL6_hippocampus_12mon_female_624"	"BL6_hippocampus_12mon_male_305"	"BL6_hippocampus_12mon_male_315"	"BL6_hippocampus_12mon_male_452"	"BL6_hippocampus_12mon_male_456"	"BL6_hippocampus_12mon_male_792"	"5xFAD_cortex_18mon_female_535"	"5xFAD_cortex_18mon_female_768"	"5xFAD_cortex_18mon_female_776"	"5xFAD_cortex_18mon_female_787"	"5xFAD_cortex_18mon_female_791"	"5xFAD_cortex_18mon_female_794"	"5xFAD_cortex_18mon_male_298"	"5xFAD_cortex_18mon_male_317"	"5xFAD_cortex_18mon_male_513"	"5xFAD_cortex_18mon_male_561"	"5xFAD_cortex_18mon_male_565"	"5xFAD_cortex_18mon_male_786"	"5xFAD_cortex_18mon_male_567"	"5xFAD_cortex_18mon_male_617"	"5xFAD_cortex_18mon_male_627"	"5xFAD_cortex_18mon_male_640"	"BL6_cortex_18mon_female_302"	"BL6_cortex_18mon_female_304"	"BL6_cortex_18mon_female_534"	"BL6_cortex_18mon_female_536"	"BL6_cortex_18mon_female_537"	"BL6_cortex_18mon_female_795"	"BL6_cortex_18mon_female_630"	"BL6_cortex_18mon_female_639"	"BL6_cortex_18mon_female_642"	"BL6_cortex_18mon_female_793"	"BL6_cortex_18mon_female_762"	"BL6_cortex_18mon_female_767"	"BL6_cortex_18mon_female_777"	"BL6_cortex_18mon_female_788"	"BL6_cortex_18mon_female_790"	"BL6_cortex_18mon_male_301"	"BL6_cortex_18mon_male_566"	"BL6_cortex_18mon_male_641"	"BL6_cortex_18mon_male_643"	"BL6_cortex_18mon_male_785"	"5xFAD_hippocampus_18mon_female_535"	"5xFAD_hippocampus_18mon_female_768"	"5xFAD_hippocampus_18mon_female_776"	"5xFAD_hippocampus_18mon_female_787"	"5xFAD_hippocampus_18mon_female_791"	"5xFAD_hippocampus_18mon_female_794"	"5xFAD_hippocampus_18mon_male_298"	"5xFAD_hippocampus_18mon_male_317"	"5xFAD_hippocampus_18mon_male_513"	"5xFAD_hippocampus_18mon_male_561"	"5xFAD_hippocampus_18mon_male_565"	"5xFAD_hippocampus_18mon_male_786"	"5xFAD_hippocampus_18mon_male_567"	"5xFAD_hippocampus_18mon_male_617"	"5xFAD_hippocampus_18mon_male_627"	"5xFAD_hippocampus_18mon_male_640"	"BL6_hippocampus_18mon_female_302"	"BL6_hippocampus_18mon_female_304"	"BL6_hippocampus_18mon_female_534"	"BL6_hippocampus_18mon_female_536"	"BL6_hippocampus_18mon_female_537"	"BL6_hippocampus_18mon_female_795"	"BL6_hippocampus_18mon_female_630"	"BL6_hippocampus_18mon_female_639"	"BL6_hippocampus_18mon_female_642"	"BL6_hippocampus_18mon_female_793"	"BL6_hippocampus_18mon_female_762"	"BL6_hippocampus_18mon_female_767"	"BL6_hippocampus_18mon_female_777"	"BL6_hippocampus_18mon_female_788"	"BL6_hippocampus_18mon_female_790"	"BL6_hippocampus_18mon_male_301"	"BL6_hippocampus_18mon_male_566"	"BL6_hippocampus_18mon_male_641"	"BL6_hippocampus_18mon_male_643"	"BL6_hippocampus_18mon_male_785"
