"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"7SLRNA:CR32864",277.415343947987,0.779565466228611,0.413346034104077,0.00119124455567836,0.0362777825376539
"a",594.05350788498,0.0958341832737397,0.0718301404938246,0.0405334993326141,0.247508736890652
"abd-A",1.14654258108248,0.000364436752571248,0.0698237808639622,0.941076301624808,NA
"Abd-B",3.07277236714697,-0.000644072932836281,0.0697069859673099,0.918617481949325,0.974885749198932
"Abl",2844.20386721475,0.0586299572081176,0.0599613235386762,0.144810507604564,0.446731356592424
"abo",100.221666189329,-0.0175297675929332,0.0645749840964567,0.548806322163611,0.80215729709933
"Ace",4416.95157222835,0.00683837209273457,0.0518698067931249,0.924890649137404,0.976531583018254
"acj6",234.842005458149,0.0274988975348809,0.0579399612329387,0.439889920388953,0.73199967884376
"Acph-1",185.618578965741,0.0181418701304837,0.0560463958306515,0.603879745170868,0.830277985290691
"nAChRalpha1",924.777859003784,0.0327870181450854,0.0697724054521358,0.295694427148302,0.612963537127907
"mAChR-A",1464.54621962363,-0.00544927533194589,0.0543074610332382,0.880099180699801,0.959747520264706
"nAChRbeta1",3514.51063533632,0.0332536596227091,0.0689685548926721,0.343309541961149,0.655385890036315
"nAChRalpha2",551.548264145127,0.0106953080019577,0.0630802243106975,0.712699411508847,0.88310806561853
"Act5C",12903.7640977728,0.0398819081480305,0.0590695216108821,0.277206404128645,0.595619793419366
"Act42A",535.714672934483,-0.0247498119136038,0.0634570174278204,0.454977101180021,0.741390622042329
"Act57B",16634.810338049,0.262855939703642,0.225718787926207,0.00656505199158884,0.0960850817170783
"Act79B",1364.74881979797,0.038807309985651,0.0838585650807778,0.0371534182283582,0.237036046422633
"Act87E",1755.44838343835,0.0576285578353299,0.0970955969300582,0.0574887206840001,0.286460508313084
"Act88F",967.00497123214,0.00732094582825165,0.070480980882171,0.0737828039150152,0.322306415330293
"Pfas",1049.59391703054,0.0392836439125819,0.0766792039717204,0.183071479625372,0.495181316514111
"Gart",1014.85392324137,0.0499747085816692,0.0945091198875601,0.0238929475359072,0.186901452323286
"FBgn0000054",676.109719883134,-0.153205171241472,0.0692698173477902,0.00333814609280825,0.0660468689134175
"Adh",26313.2741568956,-0.0124727253489552,0.066133501975918,0.639408622590423,0.850062510374426
