"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"7SLRNA:CR32864",277.415343947987,0.138536732663396,0.242639510319949,0.0166291813381872,0.0945722946599476
"a",594.05350788498,0.113448966517956,0.069943970251876,0.0513129021391732,0.192428128300946
"abd-A",1.14654258108248,-0.0161596292452005,0.120133544933552,0.247465904216572,NA
"Abd-B",3.07277236714697,-0.00839336253594105,0.118330439608777,0.647390610812175,NA
"Abl",2844.20386721475,0.0780724074387654,0.0642824573952357,0.14788272881648,0.361138648501865
"abo",100.221666189329,-0.0374549374920245,0.0942086505274434,0.537711526893084,0.741329382263794
"Ace",4416.95157222835,-0.0610129204505805,0.0677629143168205,0.275059009657529,0.517007500608704
"acj6",234.842005458149,0.0702814743650731,0.0760329627680221,0.241872463350679,0.480454342698186
"Acph-1",185.618578965741,-0.104182148904164,0.0825968343873149,0.1025202640775,0.294438198430581
"nAChRalpha1",924.777859003784,0.11855698015104,0.116458284877324,0.0994207220437134,0.288931255967159
"mAChR-A",1464.54621962363,0.0857258172137166,0.0768459348333187,0.158119416247918,0.375848511039951
"nAChRbeta1",3514.51063533632,0.229352427734351,0.132893946313666,0.0110344998785103,0.0731105903774863
"nAChRalpha2",551.548264145127,0.0603952669936941,0.0988997244495703,0.3465992078212,0.592079063115234
"Act5C",12903.7640977728,0.216450776510873,0.0807595250015678,0.00143567474708418,0.0172882929711773
"Act42A",535.714672934483,-0.103756639366121,0.0994903910443587,0.129661043858521,0.3360514305297
"Act57B",16634.810338049,0.447171165710565,0.176478907204529,0.000632481499727203,0.00968792995848815
"Act79B",1364.74881979797,0.126030343066286,0.198876068025362,0.0394206783474472,0.16399770689835
"Act87E",1755.44838343835,0.0596874856544644,0.112129370732706,0.296529432023556,0.539772726264216
"Act88F",967.00497123214,0.0106622075610364,0.119350795984872,0.396577193939972,0.634788742369012
"Pfas",1049.59391703054,0.192561903781343,0.162871560710968,0.0314747725064815,0.141496424186464
"Gart",1014.85392324137,0.156367086573498,0.232721480295447,0.0344585369265926,0.150231374653774
"FBgn0000054",676.109719883134,-0.0872922945513649,0.0619550686947789,0.104416884773348,0.297210399473792
"Adh",26313.2741568956,0.070107736464235,0.114444068483482,0.343465181415515,0.589090475380926
"Adhr",413.353344155545,0.10606762373942,0.191500159339981,0.00874428292206299,0.0625883627468284
"adp",468.539749903604,-0.11943162330229,0.057665469053452,0.0190868217296897,0.103624483946444
"al",17.8215354849223,-0.283528786371681,0.553165574489477,0.0129841678550541,0.0817774782449897
"Mps1",43.8558557910123,-0.0479202604553574,0.0957279915399579,0.438749711070469,0.669192336799993
"Ald1",13518.8568492071,0.0630572790245352,0.0926338415140151,0.310392692648731,0.553694293967177
"Ama",41.0009922855589,0.596328886815076,0.47752854524622,0.00477802409458081,0.041342604331719
"amd",178.713991950862,-0.156999350673473,0.132032068321069,0.0501976901084817,0.190035204587385
"amx",140.829181771696,0.0378111712496375,0.0769564612020544,0.521969984224473,0.729931975504655
"Amy-d",1459.07761720807,-0.00780519120022307,0.116713155930745,0.768720608674879,0.884467081784902
"Amy-p",1504.45041523752,0.0366122545840446,0.126459183535874,0.0446966334583574,0.177304877475694
"AnxB9",3613.91766717628,0.262941949828955,0.110414851894345,0.00209272318505873,0.0229182115824163
"AnxB10",2165.45837400302,0.16443761739744,0.0331192720170119,2.42768785473206e-07,1.86271054280789e-05
"dyw",59.6896385269433,0.0451593243837247,0.125607423560834,0.203617976425574,0.434385016374559
"aop",875.75781683992,0.0683977783007806,0.0900090351528006,0.284462369657708,0.526324731794213
"FBgn0000099",1004.45763421655,-0.0572553055586629,0.073177371927521,0.324686630306019,0.568597562340785
"RpLP0",15937.5162430742,-0.206217918919219,0.112937635833956,0.0113389440885217,0.074477867174921
"Appl",12336.9345308974,0.035309332093161,0.0718787181060808,0.648597572764915,0.814950116583544
"Aprt",112.509612864435,0.12700204940741,0.125188781378159,0.0869997421242035,0.268075293381781
"bru1",904.159324850074,0.15284610014958,0.0829326860083582,0.0207847209779673,0.109229128359967
"Arl1",313.804496171402,0.0664030293743035,0.0762607904184864,0.272625166223744,0.51494948204465
"Argk1",19884.0200434331,0.112877093210465,0.0711499857045275,0.0557827234804959,0.203632642943736
"arm",5903.25281989084,0.0151080457481646,0.0368387364220613,0.657259703177377,0.820244238326831
"arr",622.796251578934,0.0812869129448317,0.063454829410474,0.13370806610506,0.341211428919412
"Arr1",93606.4468195202,0.441928739702175,0.100545986658595,8.23050925030992e-07,5.09631217743591e-05
"Arr2",148720.737326673,-0.312378396811356,0.0676055213872353,1.92197105740957e-07,1.55490165545924e-05
"ash2",427.293856628594,-0.0225676139534407,0.0680784711178797,0.682144730735076,0.836247856865281
"asp",10.4034333496187,0.00479987080636733,0.117195542211397,0.843305535475293,0.92415281804256
"aub",13.5016878600781,0.134239878026771,0.228503588427231,0.0216261863078703,0.111910643380547
"aurA",41.3932076680926,0.0176160475842093,0.100231263322342,0.765137602005896,0.882060539064663
"awd",4177.36279026675,0.130889853903385,0.0953075028415365,0.0507503421112542,0.191310695252143
"Axs",264.112063722163,0.0571395947132967,0.0785883486601475,0.354048694785762,0.598281616725544
"b",2978.7720016842,-0.0808547827538754,0.14742946881445,0.0880191462782459,0.269212979884049
"Dll",464.455658376497,-0.328357360842589,0.146687156673489,0.00197150890728397,0.0218827964510901
"bam",2.51684564481721,0.00945238049302191,0.119281019389362,0.423726331801083,NA
"baz",2959.42250958032,0.0769781314896471,0.0605590019542334,0.135695442982802,0.344045298827284
"bcd",0.621224368524576,0.00324306361019337,0.119162117108092,0.614198461047416,NA
"ben",1605.27563969933,-0.0458611017209181,0.0367621689385053,0.189391588097865,0.415914680430668
"bi",429.244872264193,-0.00545238878582017,0.0591736563742703,0.911030684363392,0.959609004373821
"bib",114.576845975139,0.195652765781492,0.145444891427266,0.0263195133132569,0.125765916556852
"bic",5066.27002013354,-0.0169989536322714,0.0769967149522825,0.77091772676467,0.885727659118854
"BicC",7.6017881221616,0.0167898190499009,0.120696848559281,0.0468737490884049,0.182883612149887
"BicD",1593.86822310571,0.0310359561369319,0.0448529225190761,0.450293617260861,0.677179352676105
"boss",2488.25943443028,-0.177302335198076,0.0786780552290248,0.00637314719651532,0.050872794499737
"FBgn0000210",473.869255818701,0.0503913827692457,0.096196852406666,0.410966364842929,0.646403657176241
"brm",1496.27891833166,-0.0642381483686343,0.0534110361308324,0.178872157257769,0.401658198314552
"brn",85.6457869353404,-0.124656104208007,0.113312686897372,0.0887887633418205,0.270733214995829
"Nin",1123.43170008937,0.0272376401571662,0.0434095200936454,0.499393595640614,0.714042398196012
"bsk",1379.5743571496,0.0822678022967391,0.0642728278702919,0.132885947100795,0.340301774474796
"btd",22.3949588300159,-0.0722346006226367,0.133490064507138,0.164358902659598,0.384512314950194
"bur",1291.1865153209,-0.12837425350347,0.0633026408552274,0.0168546849443384,0.095441414173053
"bw",1063.01644422873,-0.0767157740828096,0.101153383111323,0.24028832128213,0.47871865248425
"by",1540.95522628962,0.0388912589425917,0.069597456812448,0.4974235441774,0.713052367795106
"c(3)G",93.645377994467,-0.120980419906474,0.096402436889682,0.0806888508078352,0.255711315332527
"ca",1245.42382208321,0.075189256423299,0.0631416022874349,0.163024608503613,0.382599939221553
"cact",2713.30000678881,0.0769079791091711,0.095410029047423,0.234224376843526,0.471618649221669
"cad",3.35121747124923,0.0192271996288483,0.121077303492006,0.0897288763344214,NA
"Cam",27225.3055294371,0.344847738435926,0.0670470190578374,3.54400556679576e-08,3.80500335993922e-06
"capu",1499.09613205369,0.153123666445315,0.0491186952683505,0.000725543102164662,0.0107548892357002
"car",435.11697390813,0.0301079438099068,0.0570491063722757,0.550224084459574,0.750977103750931
"CkIIbeta",1423.62833312604,0.05874615854225,0.0387787300080433,0.109571342071613,0.305745828933372
"Cat",4131.56676365005,-0.0966132000607771,0.11180422866599,0.149582429495965,0.363648357566714
"Pka-C1",4446.01247893017,-0.046234523113985,0.0508801254032114,0.316065198328522,0.559853191059083
"Pka-C2",2.56300902628176,0.0140241212912492,0.120107849721747,0.164210019007197,NA
"CecA1",208.944927088173,0.0184006426593737,0.12110658388857,0.0305254226227769,0.138450632572158
"CecA2",204.338031919916,0.0194915742573323,0.121363421917168,0.0136973051142273,0.0841468669263334
"CecB",3.25903008466462,0.00864076177448963,0.119506223474967,0.303687899924135,NA
"CecC",18.7551624114458,0.0268624311155356,0.122871991940326,0.0684486523865834,0.231315432645929
"Cp190",1455.8466448364,-0.0275346471617183,0.0637539914639565,0.610557415640139,0.791032321063936
"Cf2",1064.15010197682,-0.0403366073598401,0.0524487147348651,0.388994944840653,0.628019969928978
"salr",437.503811169004,-0.00624052834224337,0.0776355754490785,0.915180466849693,0.961650115515168
"cg",2857.35903604841,-0.016201629023902,0.053386128679423,0.765870903020737,0.882656995776708
"Col4a1",3866.53450214512,-0.425465355906242,0.307426331178168,0.00573236909568319,0.0471672418684766
