cellName,geneSymbol
Astrocyte,"Gfap,Pdpn,Aldh1l1,Atp1b2,S100b,Htra1,Acsl6,Agt,Aqp4,Atp13a4,Atp1b2,Bcan,Cldn10,Dclk1,Ednrb,Entpd2,Fgfr3,Fjx1,Fzd2,Gja1,Gjb6,Gpr37l1,Id4,Nkain4,Ntsr2,Pla2g7,Plcd4,Sdc4,Slc39a12,Slc4a4,Slc6a11,Slc7a10,Slc7a11,Sox9,Tlcd1,Vegfa,C4b,Gdpd2"
Oligodendrocyte,"Mbp,Olig2,Apod,Aspa,Cldn11,Cntn2,Efnb3,Enpp2,Ermn,Evi2a,Fa2h,Galnt6,Gjb1,Gjc2,Gjc3,Gpr37,Hapln2,Josd2,Lgi3,Lpar1,Mag,Mog,Opalin,Pdlim2,Pex5l,Plekhh1,Pls1,Ppp1r14a,Ptgds,S1pr5,Slc12a2,Stmn4,Tmeff2,Tmem125,Tmem151a,Tmem88b,Tnfaip6,Trf,Trim59,Tspan2,Tubb4a,Ugt8a"
Oligodendrocyte (DAO),"B2m,C4b,Gm22213,Malat1,Fth-ps2,Cd63,Meg3,Cd9,Actb,Ttr,Clptm1,Snhg11,Gm11223,Ctsb,Tubb4a,Hbb-bs,Fabp5,Atp6v0c,Gpd1,Penk,Stmn1,Gstp1,Atp1b1,Serpina3n,H2-D1,Gpm6b,Gm43841,H2-K1,Qk,Ddx3y,H3f3a,Rtn1,Ifi27,Gapdh,Il33,Fth1,Sgk1,Klk6,Actg1,Hba-a2,Lbh,Syt1,Hspa8,Mir7067,Ly6c1,Opalin,Plp1,Gm7613,Plekha1,Ckb,Bfsp2,Ptma,Cnp,Rnase4,Zeb2,Apoe,Rpl26,Tulp4,Cldn19,Rps2,Kcnq1ot1,Hsp90aa1,Itm2b,Gm11410,Aldoa,mt-Tl1,Ppia,Cd63-ps,Aldh1l2,Gm21198,R3hdm1,Gm8524,Gm26917,Gm27533,Sox8,Pecam1,Ndfip1,Gm10123,Wnk1,Rcan2,Sytl2,Zfp810,Rbm39,Gm4617,Clmn,Erbin,Fam13c,Mir6236,Tspan7,mt-Tt,Hbb-bt,Ly6h,Rpl13,Scd2,Gm14303,Plin4,Vps35,Gpm6a,Gm21658,Tmbim6,Gm5997,Ubb,Stmn2,Hapln2,Eif2s3y,Thy1,Gm15710,Dock1,Rpl10-ps3,Tecr,Gm10136,Clock,Oaz1-ps,Ptgds,Srcin1,Scg5,Gh,Trim59,Rpsa-ps9,Phip,A330015K06Rik,Mfge8,Aplp1,Rpl31-ps8,Cd81,Selenop,Eif1,AC165956.1,Cck,Gm22801,Ablim2,Rpl34,Vamp2,Stat3,Cx3cl1,Gm10012,Plekhh1,Esam,Daam1,Rsrp1,Slc22a17,Gm9774,Arrdc2,Snord14d,Gm8797,Gm12630,Auts2,Tmod1,Stmn3,Gm1821,Hnrnpl,Cnbp,Hspa1a,Tmem158,Ddit4,Sox2ot,Elmo1,Bcl2,Kcnq3,Ebna1bp2,Cst7,Mt2,Olfm1,Ubc,Sned1,Gm10288,Pvt1,Zbtb16,Tmem30a,Rps19,Arhgap23,Gm15009,Pcsk1n,Atp1b3,Rpl36al,Syne2,Pde4b,Caly,Rpl9-ps6,Celf2,Gm7285,Cfl1,Vcp,Tmem229a,Tpt1,Prnp,Ccp110,Apod,Arl6ip1,Gm10241,C230004F18Rik,Gm5244,Bcl3,Rpl7a-ps7,Kcnip4,Map7d2,Ppp1r1b,Rtn4,Dnlz,Rpl28-ps1,Tyrobp,Rpl27-ps3,2410021H03Rik,Acer1,Sox10,Gm38040,Abca2,Rpl11,Gm14296,D1Ertd622e,Ptprd,Stox2,Ints6,Gls,Tusc3,Apc,Sik3,Rassf1,Itm2c,Dip2a,Cerk,Rtn3,S100a16,Dbndd2,Prpf39,Ctss,Htra1,Klf13,Arl6ip5,Polr3e,Mapt,Arhgef12,Gm38393,Herc1,Xaf1,Tmed9,Tkt,Slc6a1,Hint1,Macf1,Rabac1,Omg,Zzz3,Myo18a,Bsg,Chgb,Sqstm1,BC031181,Tob1,Oaz1,Tagln3,Ppfibp2,Exoc6b,Emc7,Mdh1,Zfhx2os,Cspg5,Nsd2,Cirbp,Sema6d,Gm42418,Rassf2,Sparcl1,Eml2,Tcf4"
Pericyte,"Anpep,Mcam,Cspg4,Pdgfrb,Dlk1,Kcnj8,Arhgef6,Cox4i2,Ebf1,F2r,Frmd6,Gucy1a3,Gucy1b3,Itga7,Mcam,Mfge8,Nab1,Notch3,Nr2f2,Pcdh18,Rasl12,Rgs5"
Neuron,"Tubb3,Gnpnat1,Bcl11b,Slc17a7,Rbfox3,Eno2,Nfasc,Alcam,L1cam,Thy1,6330403K07Rik,Agap2,Ahi1,Arf3,Atp1a3,Atp1b1,Bex2,Camk2a,Camk2b,Camk2n1,Celf4,Cnih2,Cplx2,Ctxn1,Fbxl16,Gap43,Hap1,Hpcal4,Kif5a,Kif5c,Ly6h,Myt1l,Ncdn,Nefl,Nrgn,Nrsn1,Pcp4,Rab3c,Rasgef1a,Rph3a,Rtn1,Scg2,Sez6,Snap25,Stmn2,Stmn3,Syt1"
OPC,"Pdgfra,3110035E14Rik,3632451O06Rik,A930009A15Rik,C1ql1,Cacng4,Cdo1,Emid1,G0s2,Gpr17,Gria3,Gria4,Matn4,Megf11,Myt1,Neu4,Nxph1,Pcdh15,Phlda1,Ptpre,Qpct,Sema3d,Slc35f1,Snx22,Susd5,Tnr,Traf4,Tspan6,Vcan,Abtb2,Adam12,Chst11,Dscam,Fchsd2,Itpr2,Kank1,Kcnip3,Mmp16,Nova1,Pid1,Sema5b,Sox6,Spon1,Tox,Xylt1"
Macrophage (M1),"Cd40,Il1b,Nos2,Itgax,Ccl2,Ccl5,Il18,Il6,Cd274,Tnf,Ccr7,Il6,Fcgr3,Cdh1,Cd40,Il12a,Il12b,Irf5,Cd14,Fcgr3,Msr1,Clec7a,Fcgr1,Cd68,Cd80,Cd86,Ly6c1,Mertk,MHCclassII,Stat1"
Endothelial,"Eng,Pecam1,Flt1,Kdr,Pecam1,Egfl7,Emcn,Tie1,Egfl7,Cd34,Eng,Tek,Cdh5,Nos3,Cdh5,Kdr,Icam2,Icam1,Cd93,Ly6c1,Flt4,2810025M15Rik,Ablim1,Acvrl1,Arap3,Arhgef15,BC028528,Cldn5,Clec14a,Ctla2a,Ecscr,Elk3,Ets1,F11r,Fgd5,Fli1,Fxyd5,Gata2,Gimap1,Gimap5,Gimap6,Grap,Icam2,Il2rg,Itga6,Lmo2,Ly6e,Mfng,Mmrn2,Nos3,Nostrin,Ppm1f,Prkch,Ptprb,Ramp2,Rasip1,Scarb1,Srgn,Tmem88,Sox17,Fn1,Sox18,Abcb1a,Apcdd1,Ccdc141,Cgnl1,Hmcn1,Slc22a8,Slc40a1,Slc7a1,Slc7a5,Slco1a4,Wwtr1,Ushbp1"
Neuroepithelial,"Hes3,Nes,Sox2,Sox10,Notch1,Hes1"
Excitatory,"Slc6a1,Gls,Tcf4,Grin1,Grin2b,Slc30a3,Slc17a7,Baiap3,Slc17a6"
