DOL_kenigsbuch,dol_deg_zhou,dol_deg_kenigsbuch
B2m,C4b,Gm22213
C4b,Malat1,Fth-ps2
Cd63,Meg3,C4b
Cd9,Actb,Ttr
Clptm1,Snhg11,Gm11223
Ctsb,Tubb4a,Hbb-bs
Fabp5,Atp6v0c,B2m
Gpd1,Penk,Stmn1
Gstp1,Atp1b1,Serpina3n
H2-D1,Gpm6b,Gm43841
H2-K1,Qk,Ddx3y
H3f3a,Rtn1,H2-D1
Ifi27,Gapdh,Clptm1
Il33,Fth1,Sgk1
Klk6,Actg1,Hba-a2
Lbh,Syt1,Hspa8
Mir7067,H2-D1,Ly6c1
Opalin,Plp1,Gm7613
Plekha1,Ckb,Bfsp2
Ptma,Cnp,Cd63
Rnase4,Zeb2,Apoe
Rpl26,Tulp4,Cldn19
Rps2,Kcnq1ot1,Hsp90aa1
Serpina3n,Itm2b,Gm11410
Sgk1,Aldoa,mt-Tl1
Stmn1,Ppia,Cd63-ps
,Aldh1l2,Gm21198
,R3hdm1,Gm8524
,Gm26917,Gm27533
,Sox8,Pecam1
,Ndfip1,Gm10123
,Wnk1,Rcan2
,Sytl2,Zfp810
,Rbm39,Gm4617
,Clmn,Erbin
,Fam13c,Mir6236
,Tspan7,mt-Tt
,Hspa8,Hbb-bt
,Ly6h,Rpl13
,Scd2,Gm14303
,Plin4,Vps35
,Gpm6a,Gm21658
,Tmbim6,Gm5997
,Ubb,Stmn2
,Hapln2,Eif2s3y
,Thy1,Gm15710
,Dock1,Rpl10-ps3
,Tecr,Gm10136
,Clock,Oaz1-ps
,Serpina3n,Ptgds
,Srcin1,Ptma
,Scg5,Gh
,Trim59,Rpsa-ps9
,Phip,H2-K1
,A330015K06Rik,Mfge8
,Aplp1,Rpl31-ps8
,Cd81,Selenop
,Eif1,AC165956.1
,Cck,Gm22801
,Ablim2,Rpl34
,Vamp2,Stat3
,Cx3cl1,Gm10012
,Plekhh1,Esam
,Daam1,Rsrp1
,Slc22a17,Gm9774
,Arrdc2,Snord14d
,Gm8797,Gm12630
,Auts2,Tmod1
,Stmn3,Gm1821
,Hnrnpl,Gstp1
,Cnbp,Hspa1a
,Tmem158,Fabp5
,Ddit4,Sox2ot
,Elmo1,Bcl2
,Kcnq3,Ebna1bp2
,Cst7,Mt2
,Olfm1,Ubc
,Sned1,Gm10288
,Pvt1,Zbtb16
,Tmem30a,Rps19
,Arhgap23,Gm15009
,Pcsk1n,Atp1b3
,Ubc,Rpl36al
,Syne2,Pde4b
,Caly,Rpl9-ps6
,Celf2,Gm7285
,Cfl1,Vcp
,Tmem229a,Tpt1
,Prnp,Aldh1l2
,Ccp110,Apod
,Arl6ip1,Gm10241
,C230004F18Rik,Gm5244
,Bcl3,Rpl7a-ps7
,Kcnip4,Map7d2
,Ppp1r1b,Rtn4
,Dnlz,Rpl28-ps1
,Tyrobp,Rpl27-ps3
,2410021H03Rik,Acer1
,Sox10,Gm38040
,Abca2,Rpl11
,Gm14296,
,D1Ertd622e,
,Ptprd,
,Sgk1,
,Stox2,
,Ints6,
,Gls,
,Tusc3,
,Apc,
,Sik3,
,Rassf1,
,Itm2c,
,Dip2a,
,Cerk,
,Rtn3,
,S100a16,
,Dbndd2,
,Prpf39,
,Ctss,
,Htra1,
,Klf13,
,Arl6ip5,
,Polr3e,
,Mapt,
,Arhgef12,
,Gm38393,
,Herc1,
,Xaf1,
,Tmed9,
,Tkt,
,Slc6a1,
,Hint1,
,Macf1,
,Rabac1,
,Omg,
,Zzz3,
,Myo18a,
,Bsg,
,Chgb,
,Sqstm1,
,Selenop,
,BC031181,
,Tob1,
,Oaz1,
,Tagln3,
,Ppfibp2,
,Exoc6b,
,Emc7,
,Mdh1,
,Zfhx2os,
,Cspg5,
,Nsd2,
,Cirbp,
,Sema6d,
,Gm42418,
,Rassf2,
,Sparcl1,
,Stmn2,
,Eml2,
,Tcf4,
