,row_id,Gene_Set,symbol
0,1,GOBP_CENTRAL_NERVOUS_SYSTEM_MYELIN_FORMATION,Abca2
1,1,GOBP_CENTRAL_NERVOUS_SYSTEM_MYELIN_FORMATION,Ckap5
2,1,GOBP_CENTRAL_NERVOUS_SYSTEM_MYELIN_FORMATION,Cntn1
3,1,GOBP_CENTRAL_NERVOUS_SYSTEM_MYELIN_FORMATION,Ercc2
4,1,GOBP_CENTRAL_NERVOUS_SYSTEM_MYELIN_FORMATION,Mag
5,1,GOBP_CENTRAL_NERVOUS_SYSTEM_MYELIN_FORMATION,Mios
6,1,GOBP_CENTRAL_NERVOUS_SYSTEM_MYELIN_FORMATION,Tenm4
7,1,GOBP_CENTRAL_NERVOUS_SYSTEM_MYELIN_FORMATION,Tlr2
8,2,GOBP_MYELIN_ASSEMBLY,Abca2
9,2,GOBP_MYELIN_ASSEMBLY,Cd9
10,2,GOBP_MYELIN_ASSEMBLY,Ckap5
11,2,GOBP_MYELIN_ASSEMBLY,Cntn1
12,2,GOBP_MYELIN_ASSEMBLY,Cntnap1
13,2,GOBP_MYELIN_ASSEMBLY,Dicer1
14,2,GOBP_MYELIN_ASSEMBLY,Epb41l3
15,2,GOBP_MYELIN_ASSEMBLY,Ercc2
16,2,GOBP_MYELIN_ASSEMBLY,Fig4
17,2,GOBP_MYELIN_ASSEMBLY,Gnpat
18,2,GOBP_MYELIN_ASSEMBLY,Gpc1
19,2,GOBP_MYELIN_ASSEMBLY,Ilk
20,2,GOBP_MYELIN_ASSEMBLY,Itgb4
21,2,GOBP_MYELIN_ASSEMBLY,Mag
22,2,GOBP_MYELIN_ASSEMBLY,Mios
23,2,GOBP_MYELIN_ASSEMBLY,Mtmr2
24,2,GOBP_MYELIN_ASSEMBLY,Ncmap
25,2,GOBP_MYELIN_ASSEMBLY,Nfasc
26,2,GOBP_MYELIN_ASSEMBLY,Pals1
27,2,GOBP_MYELIN_ASSEMBLY,Pikfyve
28,2,GOBP_MYELIN_ASSEMBLY,Pmp22
29,2,GOBP_MYELIN_ASSEMBLY,Prx
30,2,GOBP_MYELIN_ASSEMBLY,Tenm4
31,2,GOBP_MYELIN_ASSEMBLY,Tlr2
32,2,GOBP_MYELIN_ASSEMBLY,Tppp
33,2,GOBP_MYELIN_ASSEMBLY,Ugt8a
34,3,GOBP_MYELIN_MAINTENANCE,Abcd1
35,3,GOBP_MYELIN_MAINTENANCE,Abcd2
36,3,GOBP_MYELIN_MAINTENANCE,Akt1
37,3,GOBP_MYELIN_MAINTENANCE,Akt2
