Gene_Set,symbol
Senmayo,Acvr1b
Senmayo,Ang
Senmayo,Angpt1
Senmayo,Angptl4
Senmayo,Areg
Senmayo,Axl
Senmayo,Bex3
Senmayo,Bmp2
Senmayo,Bmp6
Senmayo,C3
Senmayo,CCL1
Senmayo,CCL13
Senmayo,CCL16
Senmayo,Ccl2
Senmayo,Ccl20
Senmayo,Ccl24
Senmayo,CCL26
Senmayo,Ccl3
Senmayo,Ccl4
Senmayo,Ccl5
Senmayo,Ccl7
Senmayo,Ccl8
Senmayo,Cd55
Senmayo,Cd9
Senmayo,Csf1
Senmayo,Csf2
Senmayo,Csf2rb2
Senmayo,CST4
Senmayo,Ctnnb1
Senmayo,Ctsb
Senmayo,CXCL1
Senmayo,Cxcl10
Senmayo,Cxcl12
Senmayo,Cxcl16
Senmayo,CXCL2
Senmayo,CXCL3
Senmayo,CXCL8
Senmayo,Cxcr2
Senmayo,Dkk1
Senmayo,Edn1
Senmayo,Egf
Senmayo,Egfr
Senmayo,Ereg
Senmayo,Esm1
Senmayo,Ets2
Senmayo,Fas
Senmayo,Fgf1
Senmayo,Fgf2
Senmayo,Fgf7
Senmayo,Gdf15
Senmayo,Gem
Senmayo,Gmfg
Senmayo,Hgf
Senmayo,Hmgb1
Senmayo,Icam1
Senmayo,ICAM3
Senmayo,Igf1
Senmayo,Igfbp1
Senmayo,Igfbp2
Senmayo,Igfbp3
Senmayo,Igfbp4
Senmayo,Igfbp5
Senmayo,Igfbp6
Senmayo,Igfbp7
Senmayo,Il10
Senmayo,Il13
Senmayo,Il15
Senmayo,Il18
Senmayo,Il1a
Senmayo,Il1b
Senmayo,Il2
Senmayo,IL32
Senmayo,Il6
Senmayo,Il6st
Senmayo,Il7
Senmayo,Inha
Senmayo,Iqgap2
Senmayo,Itga2
Senmayo,Itpka
Senmayo,Jun
Senmayo,Kitl
Senmayo,Lcp1
Senmayo,Mif
Senmayo,Mmp1b
Senmayo,MMP10
Senmayo,Mmp12
Senmayo,Mmp13
Senmayo,Mmp14
Senmayo,Mmp2
Senmayo,Mmp3
Senmayo,Mmp9
Senmayo,Nap1l4
Senmayo,Nrg1
Senmayo,Pappa
Senmayo,Pecam1
Senmayo,Pgf
Senmayo,Pigf
Senmayo,Plat
Senmayo,Plau
Senmayo,Plaur
Senmayo,Ptbp1
Senmayo,Ptger2
Senmayo,Ptges
Senmayo,Rps6ka5
Senmayo,Scamp4
Senmayo,Selplg
Senmayo,Sema3f
Senmayo,Serpinb3d
Senmayo,Serpine1
Senmayo,Serpine2
Senmayo,Spp1
Senmayo,Spx
Senmayo,Timp2
Senmayo,Tnf
Senmayo,Tnfrsf26
Senmayo,Tnfrsf11b
Senmayo,Tnfrsf1a
Senmayo,Tnfrsf1b
Senmayo,Tubgcp2
Senmayo,Vegfa
Senmayo,Vegfc
Senmayo,Vgf
Senmayo,Wnt16
Senmayo,Wnt2
